姓名,年龄,收入,购买日期,购买金额
张三,25,5000,2023-01-15,200
李四,,8000,2023/02/20,350
王五,30,,2023-03-10,280
赵六,45,12000,2023-04-05,
钱七,200,15000,2023-05-12,500
孙八,35,9000,2023-06-18,400
周九,28,6500,2023/07/22,320
吴十,55,18000,2023-08-30,600
郑十一,32,7500,2023-09-15,
王十二,40,11000,2023/10/08,450
李十三,22,4500,2023-11-20,180
张十四,60,20000,2023-12-25,700
刘十五,27,5800,2024-01-10,220
陈十六,38,9500,2024/02/14,380
杨十七,42,13000,2024-03-20,550
黄十八,33,8200,2024-04-05,360
赵十九,29,7000,2024/05/12,300
周二十,50,16000,2024-06-18,650
吴二十一,31,7800,2024-07-22,340
郑二十二,48,14000,2024-08-30,580
